ListingKey,Term,BorrowerRate,ProsperRating (Alpha),IsBorrowerHomeowner,CreditScore
0FEC354965230800369FB27,60,0.2489,C,True,689
0FEE354060248231998406E,36,0.3177,HR,True,709
0FFC3601335963354A35791,36,0.099,A,True,689
1002355507716089687F6D9,60,0.2124,B,False,729
1008356191184551964B1C4,36,0.1939,C,False,649
0F653600910253363BBD659,36,0.1355,B,True,649
0F663588983215130695EB3,60,0.0869,AA,False,809
0F67356860455769574096F,36,0.3134,HR,False,729
0F823461624751165710F76,36,0.1338,A,True,729
0F843543787869030F017F8,36,0.2287,D,True,689
0F8435958508525579E0C8D,36,0.162,C,False,669
0F873523720624525E00B20,36,0.2699,D,False,649
0F8B35317926570441EA191,36,0.1619,B,False,669
10BE354254173728633D033,36,0.3177,HR,False,729
10C23461228816873E20817,36,0.1234,C,True,669
10C53499552694250BE1012,36,0.31,HR,True,649
10CA35413217064407031F0,36,0.2452,D,True,709
10CA35440888969597C16BF,36,0.3177,HR,True,749
10E63597067945844E559D0,60,0.197,C,False,709
0F4935925465944189E3E7C,60,0.176,C,True,709
0F513544744373659C042AF,36,0.1449,B,True,729
0F5235969768792992BD77F,36,0.184,C,False,729
0F5235989252645067B75F7,60,0.1655,C,True,769
10DF35877947474891E2343,60,0.1769,B,True,729
10EC3516168266498E5E38A,36,0.3199,E,False,649
10EC3600794645468CB39C9,36,0.1099,A,True,809
111335777080426187DABBE,36,0.2419,D,False,669
111835892846741953F498C,60,0.2225,D,True,669
10F935536234979271B22A5,60,0.1364,A,False,749
10FC359299660914790898F,36,0.2469,D,False,649
11023592403082400775759,36,0.2925,E,False,649
112235975452991379F490B,36,0.1795,C,False,669
11273541569159931E84F17,36,0.2999,E,True,629
112A35420359988673C6984,36,0.2999,E,False,609
348934639001802448C8E6C,36,0.1009,A,False,769
348A358496682608062923B,60,0.2432,D,False,649
34953598707923990EB3862,60,0.1725,C,True,689
349D35613352822385FE4AE,36,0.2492,D,True,689
34A435890358538545FC9C4,36,0.1639,B,True,729
34B034630579271407DEE75,36,0.0712,AA,False,829
34B535980974400531231A8,36,0.0809,AA,True,709
11333603204329069669540,36,0.2504,E,True,689
106B35550650717827CA771,60,0.2573,D,True,729
106F35923604803414D8E04,36,0.2085,D,True,709
10713594154052807283D9C,60,0.2379,D,True,669
107B3591400829838E5C400,60,0.187,C,True,709
10823544952906119C8A3E7,60,0.183,B,False,689
108C3556447927451623836,36,0.3177,HR,True,689
108E36027739898797E47EC,36,0.0809,AA,False,709
10443478111401431D069C2,36,0.2155,C,False,709
104436007314890417D7D4A,60,0.1435,B,True,689
10453596739685417502B89,36,0.1355,B,True,689
10473563253333928ACA1DC,36,0.0814,AA,True,809
10513478508167781E58455,36,0.093,AA,True,849
34B6359368663383034A263,36,0.3134,HR,True,649
34BA3601932393765853DC4,60,0.1795,C,True,729
34BB35893883024496662F5,36,0.176,C,False,669
34CA3604869254447C5ED43,36,0.1089,A,True,709
34D1354489785280859E146,36,0.2499,D,True,769
34D33477888426825B1868B,36,0.092,A,True,769
34E13569083162821956F5F,36,0.0864,AA,False,729
10533599454531437D39C05,60,0.194,C,True,669
106335993636414276CB477,36,0.285,E,False,649
0EF23547245689059886EA6,36,0.1469,B,True,709
0F1E35343868130956BD68F,36,0.3073,E,True,669
0F4C35965009736891E5D16,36,0.197,C,False,689
0F4E35955261089459E8093,36,0.2925,E,True,649
0F553545765264265019C50,36,0.2148,C,True,689
0F5F35637146184426F6F85,36,0.1089,A,True,689
2D593491034220560C1708E,36,0.2365,C,True,869
2D59353745185472301C839,36,0.3177,HR,False,669
2D5A3586746849639718666,36,0.1679,B,True,709
2D5D35974326318359553BC,60,0.1585,C,True,689
2D663593594676625A57EB1,60,0.176,C,False,709
2D773581713064168BCF5CC,60,0.2736,D,False,649
0F61352976840231904FB80,36,0.2599,D,False,729
10AE357827721554660AC5B,60,0.1769,B,True,729
10B03560492883055C87101,60,0.1346,A,True,849
10B435350152911102085B4,36,0.1621,B,False,669
10BC3490850656956BA3148,36,0.2575,D,False,669
10C136034844149252AAAB3,36,0.0879,A,True,749
10C73526527268310E10957,36,0.3199,HR,False,749
2E9F35823157750886392FC,36,0.1899,C,False,709
2EAB3589784885230AC3659,36,0.0949,A,False,709
2EB03539091133487A846CF,60,0.2468,C,True,789
2EB43599416431334B2A6D6,36,0.0659,AA,True,749
2EC03601793111440602D71,60,0.162,C,False,689
2ECD354707259234475F078,60,0.2085,B,True,709
2EFC35818388909896DF5AB,36,0.2786,E,True,709
10EC3592924283379741ED5,60,0.173,C,False,709
10F6354243629494192E867,36,0.3177,HR,True,669
10333580913944779107931,60,0.2179,C,False,709
1043357795230175365A344,36,0.2786,E,True,709
10583571884290224529BF5,36,0.1559,B,True,729
105A3472137249194D11EE3,36,0.197,C,False,649
2F0835795456070189F7855,60,0.1334,A,False,729
2F243591142788191D1D8C5,36,0.1099,A,False,729
2F293599751524472C82DEA,36,0.1099,A,True,729
2F40356178855963294ACD8,36,0.1939,C,True,649
2EA73596881900991971D30,36,0.1655,C,False,669
2EAA359566276036539F78C,60,0.1915,C,False,669
106D3601273512579498E2A,36,0.1905,C,False,709
10743585536867975C08BD4,60,0.1219,A,True,709
